id,class,order,family,species,iucn,criteria,population,systems,realm
22473612,Reptilia,Squamata,Varanidae,Varanus albigularis,LC,,Stable,Terrestrial,Afrotropical
22473680,Reptilia,Squamata,Viperidae,Bitis parviocula,EN,B2ab(iii),Decreasing,Terrestrial,Afrotropical
22473714,Reptilia,Squamata,Viperidae,Bitis worthingtoni,VU,B1ab(iii),Unknown,Terrestrial,Afrotropical
22473767,Reptilia,Squamata,Viperidae,Bitis albanica,EN,"B1ab(i,iii,iv,v)",Decreasing,Terrestrial,Afrotropical
22473777,Reptilia,Squamata,Viperidae,Bitis armata,VU,"B1ab(i,iii,iv,v)",Decreasing,Terrestrial,Afrotropical
22475165,Reptilia,Squamata,Viperidae,Bitis caudalis,LC,,Stable,Terrestrial,Afrotropical
22475197,Reptilia,Squamata,Viperidae,Bitis cornuta,LC,,Stable,Terrestrial,Afrotropical
22475207,Reptilia,Squamata,Viperidae,Bitis heraldica,VU,B2ab(iii),Decreasing,Terrestrial,Afrotropical
22475225,Reptilia,Squamata,Viperidae,Bitis rubida,LC,,Stable,Terrestrial,Afrotropical
22475231,Reptilia,Squamata,Viperidae,Bitis xeropaga,LC,,Unknown,Terrestrial,Afrotropical
22475717,Reptilia,Squamata,Typhlopidae,Afrotyphlops liberiensis,LC,,Unknown,Terrestrial,Afrotropical
22475900,Reptilia,Squamata,Typhlopidae,Afrotyphlops platyrhynchus,DD,,Unknown,Terrestrial,Afrotropical
22476010,Reptilia,Squamata,Typhlopidae,Letheobia manni,DD,,Unknown,Terrestrial,Afrotropical
22476066,Reptilia,Squamata,Typhlopidae,Afrotyphlops elegans,LC,,Stable,Terrestrial,Afrotropical
22476091,Reptilia,Squamata,Typhlopidae,Afrotyphlops fornasinii,LC,,Unknown,Terrestrial,Afrotropical
22476134,Reptilia,Squamata,Typhlopidae,Afrotyphlops angolensis,LC,,Unknown,Terrestrial,Afrotropical
22476160,Reptilia,Squamata,Typhlopidae,Afrotyphlops bibronii,LC,,Stable,Terrestrial,Afrotropical
22476198,Reptilia,Squamata,Typhlopidae,Afrotyphlops kaimosae,DD,,Unknown,Terrestrial,Afrotropical
22476234,Reptilia,Squamata,Typhlopidae,Afrotyphlops nanus,DD,,Unknown,Terrestrial,Afrotropical
22476252,Reptilia,Squamata,Typhlopidae,Afrotyphlops nigrocandidus,NT,B1b(iii),Unknown,Terrestrial,Afrotropical
22476267,Reptilia,Squamata,Typhlopidae,Afrotyphlops rondoensis,DD,,Unknown,Terrestrial,Afrotropical
22476281,Reptilia,Squamata,Typhlopidae,Afrotyphlops schmidti,DD,,Unknown,Terrestrial,Afrotropical
22476295,Reptilia,Squamata,Typhlopidae,Afrotyphlops tanganicanus,LC,,Unknown,Terrestrial,Afrotropical
22476309,Reptilia,Squamata,Typhlopidae,Afrotyphlops usambaricus,EN,B1ab(iii),Unknown,Terrestrial,Afrotropical
22476370,Reptilia,Squamata,Typhlopidae,Letheobia debilis,LC,,Stable,Terrestrial,Afrotropical
22476437,Reptilia,Squamata,Typhlopidae,Letheobia decorosa,LC,,Stable,Terrestrial,Afrotropical
22476484,Reptilia,Squamata,Typhlopidae,Letheobia gracilis,LC,,Unknown,Terrestrial,Afrotropical
22476515,Reptilia,Squamata,Typhlopidae,Letheobia kibarae,LC,,Stable,Terrestrial,Afrotropical
22476563,Reptilia,Squamata,Typhlopidae,Letheobia acutirostrata,LC,,Unknown,Terrestrial,Afrotropical
22476596,Reptilia,Squamata,Typhlopidae,Letheobia lumbriciformis,LC,,Unknown,Terrestrial,Afrotropical
22476625,Reptilia,Squamata,Typhlopidae,Letheobia newtoni,DD,,Unknown,Terrestrial,Afrotropical
22476644,Reptilia,Squamata,Typhlopidae,Afrotyphlops obtusus,LC,,Stable,Terrestrial,Afrotropical
22476689,Reptilia,Squamata,Typhlopidae,Letheobia pallida,DD,,Unknown,Terrestrial,Afrotropical
22476741,Reptilia,Squamata,Typhlopidae,Letheobia pauwelsi,DD,,Unknown,Terrestrial,Afrotropical
22476768,Reptilia,Squamata,Typhlopidae,Letheobia pembana,DD,,Unknown,Terrestrial,Afrotropical
22476797,Reptilia,Squamata,Typhlopidae,Letheobia rufescens,LC,,Stable,Terrestrial,Afrotropical
22476834,Reptilia,Squamata,Typhlopidae,Letheobia sudanensis,LC,,Stable,Terrestrial,Afrotropical
22476904,Reptilia,Squamata,Typhlopidae,Letheobia swahilica,LC,,Unknown,Terrestrial,Afrotropical
22476921,Reptilia,Squamata,Typhlopidae,Letheobia uluguruensis,EN,B1ab(iii),Unknown,Terrestrial,Afrotropical
22476984,Reptilia,Squamata,Typhlopidae,Letheobia wittei,LC,,Unknown,Terrestrial,Afrotropical
22528616,Reptilia,Squamata,Agamidae,Diporiphora arnhemica,LC,,Unknown,Terrestrial,Australasian
22528626,Reptilia,Squamata,Agamidae,Diporiphora australis,LC,,Unknown,Terrestrial,Australasian
22528664,Reptilia,Squamata,Agamidae,Diporiphora bennettii,LC,,Unknown,Terrestrial,Australasian
22528676,Reptilia,Squamata,Agamidae,Diporiphora bilineata,LC,,Unknown,Terrestrial,Australasian
22528705,Reptilia,Squamata,Agamidae,Diporiphora magna,LC,,Stable,Terrestrial,Australasian
22528723,Reptilia,Squamata,Agamidae,Diporiphora nobbi,LC,,Unknown,Terrestrial,Australasian
22528745,Reptilia,Squamata,Agamidae,Diporiphora phaeospinosa,LC,,Unknown,Terrestrial,Australasian
22528765,Reptilia,Squamata,Agamidae,Diporiphora pindan,LC,,Stable,Terrestrial,Australasian
22528775,Reptilia,Squamata,Agamidae,Diporiphora reginae,LC,,Unknown,Terrestrial,Australasian
22528785,Reptilia,Squamata,Agamidae,Diporiphora superba,LC,,Stable,Terrestrial,Australasian
22528795,Reptilia,Squamata,Agamidae,Diporiphora valens,LC,,Stable,Terrestrial,Australasian
22528805,Reptilia,Squamata,Agamidae,Diporiphora winneckei,LC,,Unknown,Terrestrial,Australasian
22528817,Reptilia,Squamata,Agamidae,Hypsilurus auritus,LC,,Unknown,Terrestrial,Australasian
22528830,Reptilia,Squamata,Agamidae,Lophosaurus boydii,LC,,Stable,Terrestrial,Australasian
22528844,Reptilia,Squamata,Agamidae,Hypsilurus capreolatus,LC,,Unknown,Terrestrial,Australasian
22528853,Reptilia,Squamata,Agamidae,Lophosaurus dilophus,LC,,Unknown,Terrestrial,Australasian
22528875,Reptilia,Squamata,Agamidae,Hypsilurus geelvinkianus,LC,,Unknown,Terrestrial,Australasian
22528897,Reptilia,Squamata,Agamidae,Hypsilurus hikidanus,LC,,Unknown,Terrestrial,Australasian
22528914,Reptilia,Squamata,Agamidae,Hypsilurus magnus,LC,,Unknown,Terrestrial,Australasian
22529024,Reptilia,Squamata,Agamidae,Hypsilurus nigrigularis,DD,,Unknown,Terrestrial,Australasian
22529155,Reptilia,Squamata,Agamidae,Hypsilurus ornatus,DD,,Unknown,Terrestrial,Australasian
22529181,Reptilia,Squamata,Agamidae,Hypsilurus papuensis,LC,,Unknown,Terrestrial,Australasian
22566055,Reptilia,Squamata,Agamidae,Hypsilurus schultzewestrumi,LC,,Unknown,Terrestrial,Australasian
22566077,Reptilia,Squamata,Agamidae,Lophosaurus spinipes,LC,,Unknown,Terrestrial,Australasian
22566100,Reptilia,Squamata,Agamidae,Hypsilurus tenuicephalus,DD,,Unknown,Terrestrial,Australasian
22566194,Reptilia,Squamata,Agamidae,Intellagama lesueurii,LC,,Stable,Terrestrial,Australasian
22566253,Reptilia,Squamata,Agamidae,Amphibolurus burnsi,LC,,Stable,Terrestrial,Australasian
22566261,Reptilia,Squamata,Agamidae,Gowidon longirostris,LC,,Stable,Terrestrial,Australasian
22566287,Reptilia,Squamata,Agamidae,Tropicagama temporalis,LC,,Unknown,Terrestrial,Australasian
22678073,Aves,Struthioniformes,Rheidae,Rhea americana,NT,A2cd+3cd+4cd,Decreasing,Terrestrial,Neotropical
22678081,Aves,Struthioniformes,Rheidae,Rhea pennata,LC,,Decreasing,Terrestrial|Freshwater (=Inland waters),Neotropical
22678108,Aves,Struthioniformes,Casuariidae,Casuarius casuarius,LC,,Decreasing,Terrestrial,Oceanian
22678111,Aves,Struthioniformes,Casuariidae,Casuarius bennetti,LC,,Decreasing,Terrestrial,Oceanian
22678114,Aves,Struthioniformes,Casuariidae,Casuarius unappendiculatus,LC,,Decreasing,Terrestrial,Oceanian
22678117,Aves,Struthioniformes,Casuariidae,Dromaius novaehollandiae,LC,,Stable,Terrestrial,Australasian
22678122,Aves,Struthioniformes,Apterygidae,Apteryx australis,VU,A2be+3be+4be,Decreasing,Terrestrial,Australasian
22678129,Aves,Struthioniformes,Apterygidae,Apteryx owenii,NT,D2,Increasing,Terrestrial,Australasian
22678132,Aves,Struthioniformes,Apterygidae,Apteryx haastii,VU,A2be+3be+4be,Decreasing,Terrestrial,Australasian
22678135,Aves,Struthioniformes,Tinamidae,Tinamus tao,VU,A3c,Decreasing,Terrestrial,Neotropical
22678139,Aves,Struthioniformes,Tinamidae,Tinamus solitarius,NT,A2cd+3cd+4cd,Decreasing,Terrestrial,Neotropical
22678145,Aves,Struthioniformes,Tinamidae,Tinamus osgoodi,VU,A2cd+3cd+4cd,Decreasing,Terrestrial,Neotropical
22678148,Aves,Struthioniformes,Tinamidae,Tinamus major,LC,,Decreasing,Terrestrial,Neotropical
22678151,Aves,Struthioniformes,Tinamidae,Tinamus guttatus,NT,A3c,Decreasing,Terrestrial,Neotropical
22678154,Aves,Struthioniformes,Tinamidae,Nothocercus bonapartei,LC,,Decreasing,Terrestrial,Neotropical
22678157,Aves,Struthioniformes,Tinamidae,Nothocercus julius,LC,,Decreasing,Terrestrial,Neotropical
22678160,Aves,Struthioniformes,Tinamidae,Nothocercus nigrocapillus,LC,,Decreasing,Terrestrial,Neotropical
22678163,Aves,Struthioniformes,Tinamidae,Crypturellus berlepschi,LC,,Decreasing,Terrestrial,Neotropical
22678166,Aves,Struthioniformes,Tinamidae,Crypturellus cinereus,LC,,Decreasing,Terrestrial,Neotropical
22678169,Aves,Struthioniformes,Tinamidae,Crypturellus soui,LC,,Decreasing,Terrestrial,Neotropical
22678172,Aves,Struthioniformes,Tinamidae,Crypturellus ptaritepui,LC,,Stable,Terrestrial,Neotropical
22678176,Aves,Struthioniformes,Tinamidae,Crypturellus obsoletus,LC,,Decreasing,Terrestrial,Neotropical
